INSERTED,DELETED,MODIFIED,FILENAME
11,6,0,bugsinpy/before/keras/32/keras_callbacks.py
16,3,0,bugsinpy/before/keras/35/keras_preprocessing_image.py
6,0,0,bugsinpy/before/keras/34/keras_utils_data_utils.py
16,4,0,bugsinpy/before/keras/34/keras_engine_training.py
13,4,0,bugsinpy/before/keras/33/keras_preprocessing_text.py
5,3,0,bugsinpy/before/keras/20/keras_backend_theano_backend.py
6,1,0,bugsinpy/before/keras/20/keras_utils_conv_utils.py
3,2,0,bugsinpy/before/keras/20/keras_backend_cntk_backend.py
12,6,0,bugsinpy/before/keras/20/keras_layers_convolutional.py
22,7,0,bugsinpy/before/keras/20/keras_backend_tensorflow_backend.py
21,2,0,bugsinpy/before/keras/18/keras_backend_tensorflow_backend.py
12,0,0,bugsinpy/before/keras/27/keras_layers_wrappers.py
2,2,0,bugsinpy/before/keras/9/docs_autogen.py
1,1,0,bugsinpy/before/keras/11/tests_keras_utils_data_utils_test.py
2,0,0,bugsinpy/before/keras/11/keras_utils_data_utils.py
1,1,0,bugsinpy/before/keras/11/tests_test_multiprocessing.py
15,0,0,bugsinpy/before/keras/11/keras_engine_training_utils.py
21,19,0,bugsinpy/before/keras/11/keras_engine_training_generator.py
1,1,0,bugsinpy/before/keras/7/keras_wrappers_scikit_learn.py
10,12,0,bugsinpy/before/keras/29/keras_engine_training.py
19,7,0,bugsinpy/before/keras/16/keras_engine_sequential.py
50,23,0,bugsinpy/before/keras/42/keras_engine_training.py
11,3,0,bugsinpy/before/keras/42/keras_models.py
9,4,0,bugsinpy/before/keras/45/keras_layers_recurrent.py
1,1,0,bugsinpy/before/keras/6/keras_engine_training_utils.py
9,3,0,bugsinpy/before/keras/28/keras_preprocessing_sequence.py
2,1,0,bugsinpy/before/keras/17/keras_metrics.py
46,54,0,bugsinpy/before/keras/1/tests_keras_backend_backend_test.py
1,2,0,bugsinpy/before/keras/1/keras_backend_theano_backend.py
14,5,0,bugsinpy/before/keras/1/keras_backend_tensorflow_backend.py
23,10,0,bugsinpy/before/keras/1/keras_initializers.py
25,19,0,bugsinpy/before/keras/10/keras_engine_training_utils.py
52,18,0,bugsinpy/before/keras/19/keras_layers_recurrent.py
1,1,0,bugsinpy/before/keras/19/keras_backend_cntk_backend.py
4,1,0,bugsinpy/before/keras/26/keras_backend_tensorflow_backend.py
46,4,0,bugsinpy/before/keras/8/keras_engine_network.py
14,1,0,bugsinpy/before/keras/21/keras_callbacks.py
4,0,0,bugsinpy/before/keras/44/keras_layers_recurrent.py
2,0,0,bugsinpy/before/keras/43/keras_utils_np_utils.py
1,1,0,bugsinpy/before/keras/38/keras_layers_recurrent.py
2,2,0,bugsinpy/before/keras/36/keras_backend_tensorflow_backend.py
2,2,0,bugsinpy/before/keras/31/keras_backend_tensorflow_backend.py
10,2,0,bugsinpy/before/keras/30/keras_engine_training.py
5,3,0,bugsinpy/before/keras/37/keras_layers_recurrent.py
55,5,0,bugsinpy/before/keras/37/keras_layers_wrappers.py
1,1,0,bugsinpy/before/keras/39/keras_utils_generic_utils.py
31,11,0,bugsinpy/before/keras/41/keras_utils_data_utils.py
11,10,0,bugsinpy/before/keras/41/tests_test_multiprocessing.py
6,2,0,bugsinpy/before/keras/24/keras_callbacks.py
0,2,0,bugsinpy/before/keras/23/keras_engine_sequential.py
1,1,0,bugsinpy/before/keras/4/keras_optimizers.py
18,5,0,bugsinpy/before/keras/15/keras_callbacks.py
12,6,0,bugsinpy/before/keras/3/keras_models.py
4,3,0,bugsinpy/before/keras/40/keras_layers_recurrent.py
6,0,0,bugsinpy/before/keras/2/keras_backend_numpy_backend.py
2,1,0,bugsinpy/before/keras/13/keras_engine_training_generator.py
4,1,0,bugsinpy/before/keras/5/keras_utils_data_utils.py
2,1,0,bugsinpy/before/keras/14/keras_metrics.py
1,0,0,bugsinpy/before/keras/22/keras_engine_input_layer.py
2,0,0,bugsinpy/before/keras/25/keras_applications_imagenet_utils.py
3,1,0,bugsinpy/before/thefuck/32/thefuck_rules_ls_lah.py
3,2,0,bugsinpy/before/thefuck/20/thefuck_rules_dirty_unzip.py
3,0,0,bugsinpy/before/thefuck/18/thefuck_rules_sudo.py
1,1,0,bugsinpy/before/thefuck/27/thefuck_rules_open.py
5,1,0,bugsinpy/before/thefuck/9/thefuck_rules_git_push.py
1,4,0,bugsinpy/before/thefuck/7/thefuck_rules_php_s.py
5,3,0,bugsinpy/before/thefuck/29/thefuck_types.py
4,3,0,bugsinpy/before/thefuck/16/thefuck_shells_zsh.py
5,3,0,bugsinpy/before/thefuck/16/thefuck_shells_bash.py
1,0,0,bugsinpy/before/thefuck/16/thefuck_shells_fish.py
1,1,0,bugsinpy/before/thefuck/16/thefuck_types.py
3,2,0,bugsinpy/before/thefuck/6/thefuck_rules_git_branch_exists.py
18,8,0,bugsinpy/before/thefuck/28/thefuck_rules_fix_file.py
1,1,0,bugsinpy/before/thefuck/17/thefuck_shells_zsh.py
5,9,0,bugsinpy/before/thefuck/17/thefuck_shells_bash.py
2,2,0,bugsinpy/before/thefuck/1/thefuck_rules_pip_unknown_command.py
9,3,0,bugsinpy/before/thefuck/10/thefuck_rules_man.py
1,1,0,bugsinpy/before/thefuck/19/thefuck_rules_git_push_force.py
7,2,0,bugsinpy/before/thefuck/26/thefuck_rules_vagrant_up.py
2,5,0,bugsinpy/before/thefuck/8/thefuck_rules_dnf_no_such_command.py
6,2,0,bugsinpy/before/thefuck/21/thefuck_rules_git_fix_stash.py
1,1,0,bugsinpy/before/thefuck/31/thefuck_rules_git_diff_staged.py
6,1,0,bugsinpy/before/thefuck/30/thefuck_rules_fix_file.py
25,8,0,bugsinpy/before/thefuck/24/thefuck_types.py
4,1,0,bugsinpy/before/thefuck/23/thefuck_utils.py
11,3,0,bugsinpy/before/thefuck/4/thefuck_shells_fish.py
3,4,0,bugsinpy/before/thefuck/15/thefuck_rules_git_add.py
2,2,0,bugsinpy/before/thefuck/3/thefuck_shells_fish.py
2,2,0,bugsinpy/before/thefuck/12/thefuck_rules_no_command.py
1,1,0,bugsinpy/before/thefuck/2/thefuck_utils.py
3,2,0,bugsinpy/before/thefuck/13/thefuck_rules_git_branch_exists.py
1,1,0,bugsinpy/before/thefuck/5/thefuck_rules_git_push.py
4,5,0,bugsinpy/before/thefuck/14/thefuck_shells_fish.py
4,3,0,bugsinpy/before/thefuck/22/thefuck_types.py
1,1,0,bugsinpy/before/thefuck/25/thefuck_rules_mkdir_p.py
1,0,0,bugsinpy/before/PySnooper/1/pysnooper_pycompat.py
2,2,0,bugsinpy/before/PySnooper/1/tests_utils.py
5,2,0,bugsinpy/before/PySnooper/1/pysnooper_tracer.py
1,1,0,bugsinpy/before/PySnooper/3/pysnooper_pysnooper.py
29,9,0,bugsinpy/before/PySnooper/2/pysnooper_tracer.py
2,0,0,bugsinpy/before/luigi/32/luigi_task_register.py
1,1,0,bugsinpy/before/luigi/33/luigi_task.py
1,1,0,bugsinpy/before/luigi/18/luigi_scheduler.py
8,7,0,bugsinpy/before/luigi/27/luigi_parameter.py
15,9,0,bugsinpy/before/luigi/9/luigi_execution_summary.py
19,0,0,bugsinpy/before/luigi/9/test_retcodes_test.py
2,1,0,bugsinpy/before/luigi/11/luigi_scheduler.py
2,2,0,bugsinpy/before/luigi/7/luigi_scheduler.py
0,16,0,bugsinpy/before/luigi/29/test_cmdline_test.py
0,2,0,bugsinpy/before/luigi/29/luigi_task_register.py
2,1,0,bugsinpy/before/luigi/16/luigi_scheduler.py
18,28,0,bugsinpy/before/luigi/6/luigi_parameter.py
1,1,0,bugsinpy/before/luigi/28/luigi_contrib_hive.py
3,2,0,bugsinpy/before/luigi/1/luigi_server.py
1,1,0,bugsinpy/before/luigi/10/luigi_scheduler.py
1,1,0,bugsinpy/before/luigi/19/luigi_scheduler.py
3,1,0,bugsinpy/before/luigi/26/luigi_contrib_hadoop_jar.py
2,2,0,bugsinpy/before/luigi/8/luigi_contrib_redshift.py
1,1,0,bugsinpy/before/luigi/31/luigi_scheduler.py
17,19,0,bugsinpy/before/luigi/30/luigi_worker.py
6,1,0,bugsinpy/before/luigi/23/luigi_scheduler.py
1,1,0,bugsinpy/before/luigi/23/luigi_interface.py
1,1,0,bugsinpy/before/luigi/4/luigi_contrib_redshift.py
2,2,0,bugsinpy/before/luigi/15/luigi_scheduler.py
2,2,0,bugsinpy/before/luigi/3/luigi_parameter.py
23,14,0,bugsinpy/before/luigi/12/luigi_contrib_hdfs_clients.py
1,1,0,bugsinpy/before/luigi/13/luigi_file.py
13,14,0,bugsinpy/before/luigi/5/luigi_util.py
4,9,0,bugsinpy/before/luigi/14/luigi_scheduler.py
1,1,0,bugsinpy/before/luigi/22/luigi_scheduler.py
1,1,0,bugsinpy/before/cookiecutter/1/cookiecutter_generate.py
8,4,0,bugsinpy/before/cookiecutter/4/cookiecutter_hooks.py
6,0,0,bugsinpy/before/cookiecutter/4/cookiecutter_exceptions.py
6,2,0,bugsinpy/before/cookiecutter/4/cookiecutter_generate.py
1,1,0,bugsinpy/before/cookiecutter/3/cookiecutter_prompt.py
9,5,0,bugsinpy/before/cookiecutter/2/cookiecutter_hooks.py
2,2,0,bugsinpy/before/scrapy/32/scrapy_crawler.py
2,2,0,bugsinpy/before/scrapy/35/scrapy_crawler.py
2,1,0,bugsinpy/before/scrapy/34/scrapy_item.py
3,1,0,bugsinpy/before/scrapy/33/scrapy_utils_signal.py
14,6,0,bugsinpy/before/scrapy/33/scrapy_core_engine.py
3,1,0,bugsinpy/before/scrapy/33/scrapy_extensions_feedexport.py
147,32,0,bugsinpy/before/scrapy/33/scrapy_log.py
3,1,0,bugsinpy/before/scrapy/33/scrapy_downloadermiddlewares_robotstxt.py
4,2,0,bugsinpy/before/scrapy/33/scrapy_pipelines_media.py
3,1,0,bugsinpy/before/scrapy/33/scrapy_pipelines_files.py
9,5,0,bugsinpy/before/scrapy/33/scrapy_core_scraper.py
1,1,0,bugsinpy/before/scrapy/20/scrapy_spiders_sitemap.py
2,1,0,bugsinpy/before/scrapy/18/scrapy_responsetypes.py
