INSERTED,DELETED,MODIFIED,FILENAME
7,0,0,defects4j/before/Closure/135/src_com_google_javascript_rhino_jstype_FunctionType.java
1,0,0,defects4j/before/Closure/135/src_com_google_javascript_jscomp_DevirtualizePrototypeMethods.java
6,0,0,defects4j/before/Closure/61/src_com_google_javascript_jscomp_NodeUtil.java
7,0,0,defects4j/before/Closure/95/src_com_google_javascript_jscomp_TypedScopeCreator.java
3,1,0,defects4j/before/Closure/132/src_com_google_javascript_jscomp_PeepholeSubstituteAlternateSyntax.java
2,1,0,defects4j/before/Closure/59/src_com_google_javascript_jscomp_Compiler.java
1,1,0,defects4j/before/Closure/92/src_com_google_javascript_jscomp_ProcessClosurePrimitives.java
2,0,0,defects4j/before/Closure/66/src_com_google_javascript_jscomp_TypeCheck.java
1,1,0,defects4j/before/Closure/104/src_com_google_javascript_rhino_jstype_UnionType.java
6,1,0,defects4j/before/Closure/50/src_com_google_javascript_jscomp_PeepholeReplaceKnownMethods.java
3,1,0,defects4j/before/Closure/68/src_com_google_javascript_jscomp_parsing_JsDocInfoParser.java
1,0,0,defects4j/before/Closure/103/src_com_google_javascript_jscomp_ControlFlowAnalysis.java
7,0,0,defects4j/before/Closure/103/src_com_google_javascript_jscomp_DisambiguateProperties.java
1,1,0,defects4j/before/Closure/57/src_com_google_javascript_jscomp_ClosureCodingConvention.java
1,1,0,defects4j/before/Closure/168/src_com_google_javascript_jscomp_TypedScopeCreator.java
21,4,0,defects4j/before/Closure/157/src_com_google_javascript_jscomp_parsing_IRFactory.java
2,2,0,defects4j/before/Closure/157/src_com_google_javascript_jscomp_RenamePrototypes.java
40,9,0,defects4j/before/Closure/157/src_com_google_javascript_jscomp_CodeGenerator.java
1,15,0,defects4j/before/Closure/150/src_com_google_javascript_jscomp_TypedScopeCreator.java
3,4,0,defects4j/before/Closure/159/src_com_google_javascript_jscomp_InlineFunctions.java
15,3,0,defects4j/before/Closure/32/src_com_google_javascript_jscomp_parsing_JsDocInfoParser.java
6,0,0,defects4j/before/Closure/166/src_com_google_javascript_rhino_jstype_PrototypeObjectType.java
2,15,0,defects4j/before/Closure/35/src_com_google_javascript_jscomp_TypeInference.java
3,0,0,defects4j/before/Closure/161/src_com_google_javascript_jscomp_PeepholeFoldConstants.java
1,1,0,defects4j/before/Closure/102/src_com_google_javascript_jscomp_Normalize.java
7,0,0,defects4j/before/Closure/69/src_com_google_javascript_jscomp_TypeCheck.java
4,0,0,defects4j/before/Closure/56/src_com_google_javascript_jscomp_SourceFile.java
